Date,High,Low,Open,Close,Volume,Adj Close
2018-10-18,11861.547168782918,11759.933571146084,11840.750911029674,11777.824535242935,268976300,11777.824535242935
2018-10-19,,,,,251480500,
2018-10-22,11829.350420877872,11731.006693268866,11825.684862959835,11768.114874901697,278747800,11768.114874901697
2018-10-23,11714.35844170804,11539.673593255227,11654.4994066283,11685.308007392037,346691200,11685.308007392037
2018-10-24,11723.089172479651,11420.119396592208,11700.096261355377,11426.786742044522,290191400,11426.786742044522
2018-10-25,11483.623828104122,11403.597062446452,11467.40419561388,11417.980228187373,300106200,11417.980228187373
2018-10-26,,,,,269257400,
2018-10-29,11469.282632375514,11179.183437651509,11444.388883983343,11241.876428704463,283759500,11241.876428704463
2018-10-30,11348.48558153117,11193.939557092937,11208.716528366413,11344.905516961591,286522100,11344.905516961591
2018-10-31,11503.354702708099,11424.96534758633,11441.893969186482,11458.974503812035,310550400,11458.974503812035
2018-11-01,11514.497558327386,11422.534799644587,11425.270584837195,11514.497558327386,290143000,11514.497558327386
2018-11-02,11629.2340050721,11487.372009613822,11615.024454924098,11550.090384210484,268963600,11550.090384210484
2018-11-05,11634.798102653547,11554.191277913502,11554.191277913502,11615.943999743758,255477900,11615.943999743758
2018-11-06,11667.60733210061,11610.319618608843,11629.23748139685,11665.624290134016,237092100,11665.624290134016
2018-11-07,11735.016640021813,11659.766611801595,11730.060974210992,11717.786469019109,271236500,11717.786469019109
2018-11-08,11736.391532384248,11660.29967223968,11703.225175730013,11709.248788906485,281152200,11709.248788906485
2018-11-09,11644.398160540879,11562.299682357698,11619.594002710208,11621.87662127278,287404100,11621.87662127278
2018-11-12,11569.631931018024,11480.11364301116,11569.252939299668,11488.300456302233,241196100,11488.300456302233
2018-11-13,11512.988677638448,11409.605210567515,11454.236372335921,11427.125369693278,300186800,11427.125369693278
2018-11-14,11537.588555706765,11377.886041851703,11472.558236150417,11443.143063671223,295362000,11443.143063671223
2018-11-15,11457.386301361481,11374.802007381131,11402.430609655583,11432.70205677645,268321200,11432.70205677645
2018-11-16,11517.082017116833,11450.72958948091,11450.72958948091,11505.846209873882,285186100,11505.846209873882
2018-11-19,11539.800803838636,11440.687124254766,11514.395249074998,11463.887214497097,225780400,11463.887214497097
2018-11-20,11352.075588876201,11244.34350658454,11343.876277780559,11294.755294145543,292344300,11294.755294145543
2018-11-21,11420.819477176103,11227.583412052081,11230.139135921258,11345.358830711431,270566000,11345.358830711431
2018-11-22,11422.003567715474,11386.842886932625,11401.05897871756,11411.417556296981,83391200,11411.417556296981
2018-11-23,11393.416504196039,11296.15041485929,11370.293976987237,11379.84667833762,154972200,11379.84667833762
2018-11-26,11437.395681732289,11336.987543233196,11391.728500619165,11350.899830037082,245892100,11350.899830037082
2018-11-27,11334.137904820018,11247.971842017543,11313.539720388184,11275.58689321183,219177800,11275.58689321183
2018-11-28,11410.938852451227,11268.333434531905,11284.27894582529,11410.938852451227,244842300,11410.938852451227
2018-11-29,11487.797656688022,11403.209072405187,11416.917432392098,11444.712242998745,223082300,11444.712242998745
