Date,High,Low,Close,Open,Adj Close
2020-05-27,6167.96,6067.76,6144.25,6067.76,6144.25
2020-05-26,6130.12,5993.28,6067.76,5993.28,6067.76
2020-05-22,6015.25,5888.58,5993.28,6015.25,5993.28
2020-05-21,6093.74,6004.1,6015.25,6067.16,6015.25
2020-05-20,6074.46,5961.56,6067.16,6002.23,6067.16
2020-05-19,6111.96,5965.1,6002.23,6048.59,6002.23
2020-05-18,6058.17,5799.61,6048.59,5799.77,6048.59
2020-05-15,5837.88,5741.54,5799.77,5741.54,5799.77
2020-05-14,5904.05,5661.14,5741.54,5904.05,5741.54
2020-05-13,5994.77,5893.35,5904.05,5994.77,5904.05
2020-05-12,6012.98,5911.37,5994.77,5939.73,5994.77
2020-05-11,5999.13,5898.32,5939.73,5935.98,5939.73
2020-05-07,5941.86,5853.6,5935.98,5853.76,5935.98
2020-05-06,5897.44,5839.57,5853.76,5849.42,5853.76
2020-05-05,5869.45,5753.78,5849.42,5753.78,5849.42
2020-05-04,5792.85,5702.03,5753.78,5763.06,5753.78
2020-05-01,5901.21,5746.06,5763.06,5901.21,5763.06
2020-04-30,6151.58,5897.91,5901.21,6115.25,5901.21
2020-04-29,6129.6,5950.83,6115.25,5958.5,6115.25
2020-04-28,5977.76,5835.92,5958.5,5846.79,5958.5
2020-04-27,5855.61,5752.23,5846.79,5752.23,5846.79
2020-04-24,5827.24,5728.8,5752.23,5826.61,5752.23
2020-04-23,5843.61,5735.93,5826.61,5770.63,5826.61
2020-04-22,5777.06,5641.03,5770.63,5641.03,5770.63
2020-04-21,5812.83,5641.03,5641.03,5812.83,5641.03
2020-04-20,5823.93,5707.73,5812.83,5786.96,5812.83
2020-04-17,5839.33,5628.43,5786.96,5628.43,5786.96
2020-04-16,5657.63,5577.78,5628.43,5597.65,5628.43
2020-04-15,5791.71,5576.35,5597.65,5791.31,5597.65
2020-04-14,5894.71,5778.98,5791.31,5842.66,5791.31
2020-04-13,5842.66,5842.66,5842.66,5842.66,5842.66
2020-04-10,5842.66,5842.66,5842.66,5842.66,5842.66
2020-04-09,5842.66,5677.68,5842.66,5677.73,5842.66
