"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2020","26,156.61","26,202.16","26,276.39","26,099.22","770.29M","0.01%"
"01/09/2020","26,152.96","26,079.70","26,204.10","26,074.41","689.57M","0.89%"
"01/08/2020","25,923.15","25,626.90","25,985.68","25,551.78","649.56M","0.44%"
"01/07/2020","25,810.51","25,767.62","25,879.66","25,724.32","433.03M","0.60%"
"01/06/2020","25,656.19","25,671.18","25,698.30","25,323.56","517.19M","-0.61%"
"01/03/2020","25,813.04","25,855.77","25,895.08","25,623.15","638.99M","-0.64%"
"01/02/2020","25,980.07","25,735.14","26,005.42","25,712.12","649.77M","1.37%"
"12/30/2019","25,628.94","25,847.43","25,866.31","25,628.94","378.50M","-1.01%"
"12/27/2019","25,890.37","26,000.77","26,025.84","25,866.68","373.26M","-0.52%"
"12/23/2019","26,025.22","26,046.52","26,066.81","25,974.45","323.20M","-0.38%"
"12/20/2019","26,124.34","25,962.33","26,124.34","25,962.33","924.87M","1.12%"
"12/19/2019","25,835.16","25,778.86","25,837.76","25,708.72","492.01M","0.29%"
"12/18/2019","25,761.25","25,795.21","25,881.22","25,760.80","441.08M","-0.08%"
"12/17/2019","25,781.18","25,685.44","25,860.73","25,630.87","435.61M","0.42%"
"12/16/2019","25,673.44","25,588.95","25,701.30","25,536.75","385.71M","0.77%"
"12/13/2019","25,478.22","25,893.83","25,895.56","25,420.78","650.18M","-0.31%"
"12/12/2019","25,556.29","25,398.09","25,658.51","25,327.33","551.16M","0.92%"
"12/11/2019","25,322.14","25,264.63","25,368.88","25,201.20","441.15M","0.13%"
"12/10/2019","25,288.72","25,102.68","25,308.81","24,945.65","469.20M","0.66%"
"12/09/2019","25,123.87","25,390.98","25,406.12","25,015.60","457.09M","-0.93%"
"12/06/2019","25,359.14","25,235.01","25,392.20","25,132.11","469.48M","0.83%"
"12/05/2019","25,149.40","25,227.05","25,374.77","25,124.42","459.12M","-0.23%"
"12/04/2019","25,206.88","24,896.54","25,218.16","24,891.97","552.43M","1.25%"
"12/03/2019","24,895.19","25,018.91","25,179.75","24,740.49","753.39M","-0.05%"
"12/02/2019","24,907.12","25,499.85","25,622.75","24,879.76","632.92M","-2.19%"
"11/29/2019","25,464.05","25,465.36","25,628.95","25,404.17","541.91M","-0.31%"
"11/28/2019","25,544.01","25,592.44","25,671.32","25,452.36","375.82M","-0.49%"
"11/27/2019","25,669.57","25,767.48","25,824.39","25,637.64","518.72M","-0.09%"
"11/26/2019","25,692.72","25,569.70","25,707.10","25,467.72","661.60M","0.59%"
"11/25/2019","25,543.02","25,472.13","25,575.25","25,471.45","414.55M","0.81%"
"11/22/2019","25,337.61","25,383.31","25,540.63","25,333.10","508.30M","-0.01%"
"11/21/2019","25,340.48","25,258.65","25,430.01","25,155.81","632.80M","-0.31%"
"11/20/2019","25,418.34","25,287.43","25,448.66","25,209.24","556.45M","0.10%"
"11/19/2019","25,393.66","25,585.78","25,731.87","25,365.27","528.35M","-0.52%"
"11/18/2019","25,526.14","25,646.54","25,687.24","25,412.49","510.93M","-0.53%"
"11/15/2019","25,661.79","25,665.84","25,700.69","25,524.98","528.55M","0.47%"
"11/14/2019","25,542.26","25,641.68","25,704.37","25,539.79","576.39M","-0.41%"
"11/13/2019","25,646.51","25,758.47","25,788.99","25,489.83","568.65M","-0.78%"
"11/12/2019","25,848.00","25,591.14","25,888.85","25,586.76","648.71M","1.27%"
"11/11/2019","25,523.93","25,469.60","25,546.56","25,420.54","502.99M","-0.10%"
"11/08/2019","25,549.63","25,501.28","25,583.28","25,374.01","781.39M","0.11%"
"11/07/2019","25,521.24","25,504.23","25,604.14","25,454.53","674.58M","0.51%"
"11/06/2019","25,391.90","25,390.53","25,428.78","25,319.40","586.92M","0.05%"
"11/05/2019","25,380.17","25,356.08","25,446.77","25,298.94","656.79M","0.24%"
"11/04/2019","25,319.07","25,036.27","25,355.19","25,029.86","614.91M","1.58%"
"11/01/2019","24,926.35","24,712.19","24,939.13","24,706.89","364.68M","1.04%"
"10/31/2019","24,670.06","24,626.63","24,751.49","24,548.47","535.36M","0.23%"
"10/30/2019","24,612.29","24,687.30","24,763.79","24,432.51","544.70M","-0.21%"
"10/29/2019","24,663.20","24,686.47","24,728.98","24,592.79","471.93M","-0.06%"
"10/28/2019","24,676.88","24,578.67","24,728.86","24,503.29","357.79M","0.37%"
"10/25/2019","24,586.96","24,529.15","24,586.96","24,444.24","316.24M","0.36%"
"10/24/2019","24,498.91","24,430.44","24,523.16","24,376.43","507.68M","0.70%"
"10/23/2019","24,328.03","24,362.67","24,429.00","24,268.12","469.44M","-0.60%"
"10/22/2019","24,475.38","24,478.96","24,512.03","24,335.92","446.70M","0.11%"
"10/21/2019","24,449.04","24,325.17","24,468.15","24,324.20","490.90M","0.64%"
"10/18/2019","24,294.21","24,383.97","24,434.47","24,269.11","545.20M","-0.24%"
"10/17/2019","24,353.71","24,346.47","24,636.80","24,342.31","606.62M","-0.16%"
"10/16/2019","24,391.65","24,346.05","24,478.73","24,246.94","702.83M","0.30%"
"10/15/2019","24,318.88","24,200.62","24,356.69","24,126.19","600.04M","1.11%"
"10/14/2019","24,052.36","24,056.26","24,105.69","23,938.83","387.93M","-0.25%"
"10/11/2019","24,111.50","23,765.89","24,111.50","23,708.40","667.77M","1.82%"
